TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-05-04 20:04:53,1777925093368,www.utilitysheet.com/about,GET,_rsc=1pn8p,304,nfcxb-1777925093368-cd173d3673a8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/about.segments/_head.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,23,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093334,www.utilitysheet.com/auth/login,GET,_rsc=1yixr,304,7b867-1777925093334-de4bdd426afa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/auth/login.segments/auth/login/__PAGE__.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,19,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093322,www.utilitysheet.com/auth/login,GET,_rsc=17j2u,304,76n6w-1777925093322-411fbd9bea75,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/auth/login.segments/auth/login.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,91,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093293,www.utilitysheet.com/auth/login,GET,_rsc=1pn8p,304,szt2t-1777925093293-6de72d2231ed,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/auth/login.segments/_head.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,9,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093282,www.utilitysheet.com/auth/signup,GET,_rsc=hogp5,304,52dx2-1777925093282-7986ea1c92b3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/auth/signup.segments/auth/signup/__PAGE__.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,9,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093276,www.utilitysheet.com/auth/signup,GET,_rsc=11igb,304,6rnkf-1777925093276-bcdb8b581389,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/auth/signup.segments/auth/signup.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,61,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093241,www.utilitysheet.com/features,GET,_rsc=1r34m,304,szt2t-1777925093241-e82655e79c03,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/features.segments/_tree.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,12,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093226,www.utilitysheet.com/how-it-works,GET,_rsc=1r34m,304,7b867-1777925093226-4eea2b72ad2e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/how-it-works.segments/_tree.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,27,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093222,www.utilitysheet.com/pricing,GET,_rsc=1r34m,304,pf5g9-1777925093222-9ee21aec4e96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/pricing.segments/_tree.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,16,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093184,www.utilitysheet.com/faq,GET,_rsc=1r34m,304,pf5g9-1777925093184-14a9b0b2dbaf,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/faq.segments/_tree.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,23,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093177,www.utilitysheet.com/about,GET,_rsc=1r34m,304,9jc25-1777925093177-dfaef5ca92d8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/about.segments/_tree.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,8,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
2026-05-04 20:04:53,1777925093168,www.utilitysheet.com/auth/login,GET,_rsc=1r34m,304,jbfx8-1777925093168-b2f6c20075eb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,HIT,static,/auth/login.segments/_tree.segment,www.utilitysheet.com,utilitysheet-saas-dx45o6nga-multimediumdev.vercel.app,dpl_938uSyUPb2eJsgq1oFBGkDkf7uBL,16,iad1,,,,prj_Nse9ciqeGTA4cuZOH9RyxyR28mK5,,,,,,,
